이름,이름_자모,분류,지역
헤럴드경제,헤럴드경제,경제/IT,
아시아경제,아시아경제,경제/IT,
세계일보,세계일보,일간지,
전자신문,전자신문,경제/IT,
부산일보,부산일보,지역지,부산
서울경제,서울경제,경제/IT,
전북도민일보,전북도민일보,지역지,전북
중부매일,중부매일,지역지,
YTN,YTN,방송/통신,
MBC,MBC,방송/통신,
충청일보,충청일보,지역지,
중앙일보,중앙일보,일간지,
한겨레,한겨레,일간지,
국민일보,국민일보,일간지,
머니투데이,머니투데이,경제/IT,
한국경제,한국경제,경제/IT,
중도일보,중도일보,지역지,대전
제민일보,제민일보,지역지,제주
동아일보,동아일보,일간지,
강원일보,강원일보,지역지,강원
경상일보,경상일보,지역지,울산
아주경제,아주경제,경제/IT,
경인일보,경인일보,지역지,경기
KBS,KBS,방송/통신,
파이낸셜뉴스,파이낸셜뉴스,경제/IT,
OBS,OBS,방송/통신,경기
강원도민일보,강원도민일보,지역지,강원
광주일보,광주일보,일간지,광주
대구일보,대구일보,지역지,대구
경기일보,경기일보,지역지,경기
중부일보,중부일보,지역지,경기
디지털타임스,디지털타임스,경제/IT,
서울신문,서울신문,일간지,
매일신문,매일신문,지역지,대구
충청투데이,충청투데이,지역지,대전
전남일보,전남일보,지역지,광주
경향신문,경향신문,일간지,
대전일보,대전일보,지역지,대전
조선일보,조선일보,일간지,
문화일보,문화일보,일간지,
전북일보,전북일보,지역지,전북
충북일보,충북일보,지역지,
광주매일신문,광주매일신문,지역지,광주
경남도민일보,경남도민일보,지역지,경남
내일신문,내일신문,일간지,
영남일보,영남일보,지역지,대구
무등일보,무등일보,지역지,광주
국제신문,국제신문,지역지,부산
SBS,SBS,방송/통신,
경남신문,경남신문,지역지,경남
울산매일,울산매일,지역지,울산
한라일보,한라일보,지역지,제주
